,NEIGHBORHOOD_ID,GEO_LAT,GEO_LON,OFFENSE_ID
0,west-colfax,39.738133700000006,-105.0292082,1867
1,montclair,39.7298183,-104.9198024,551
2,westwood,39.70062479999999,-105.0473505,1813
3,five-points,39.754698299999994,-104.9883656,5704
4,lincoln-park,39.7395007,-105.00054180000001,2027
5,mar-lee,39.6909865,-105.04674820000001,1217
6,stapleton,39.77074520000001,-104.8475122,4014
7,kennedy,39.657775,-104.8499436,552
8,montbello,39.7737854,-104.812508,3169
9,college-view-south-platte,39.6798787,-105.010399,1251
10,athmar-park,39.701906799999996,-105.02236459999999,1030
11,virginia-village,39.6806449,-104.9260854,918
12,east-colfax,39.7343338,-104.8978406,1913
13,university-park,39.6784263,-104.95367730000001,603
14,washington-park-west,39.711157799999995,-104.98636909999999,535
15,harvey-park-south,39.6582354,-105.03983819999999,724
16,cherry-creek,39.72349620000001,-104.9566503,984
17,civic-center,39.73500870000001,-104.99202939999999,2696
18,gateway-green-valley-ranch,39.7957734,-104.803388,2380
19,elyria-swansea,39.781118799999994,-104.95896119999999,1023
20,union-station,39.7539523,-105.006535,3148
21,north-capitol-hill,39.746868799999994,-104.978963,1856
22,cole,39.764494899999995,-104.9634399,623
23,capitol-hill,39.735581,-104.977276,3267
24,overland,39.6894005,-104.98872790000001,868
25,hampden,39.6705972,-104.87551289999999,1444
26,north-park-hill,39.75471629999999,-104.91282079999999,594
27,cbd,39.745194399999995,-104.99221170000001,3764
28,city-park-west,39.742911,-104.96934109999998,1249
29,university,39.6770301,-104.96047040000002,523
30,speer,39.7253667,-104.97439779999999,1241
31,dia,39.8492917,-104.67381230000001,1769
32,auraria,39.7462505,-105.00228249999999,826
33,berkeley,39.7779904,-105.0448763,727
34,hale,39.732295,-104.931142,635
35,northeast-park-hill,39.764985100000004,-104.94018249999999,1441
36,hampden-south,39.626881700000006,-104.8942244,1136
37,ruby-hill,39.6961941,-105.0130429,1064
38,windsor,39.6990994,-104.9003215,715
39,sloan-lake,39.7508471,-105.04034009999998,636
40,baker,39.7102621,-104.98999409999999,1509
41,rosedale,39.677171799999996,-104.97662379999998,262
42,globeville,39.766080200000005,-104.9940952,1162
43,regis,39.7879709,-105.0453203,445
44,university-hills,39.6667261,-104.93688799999998,624
45,cory-merrill,39.689318799999995,-104.9406297,375
46,sunnyside,39.7706692,-105.0120666,978
47,cheesman-park,39.7386028,-104.97281219999999,1409
48,washington-virginia-vale,39.7002156,-104.9082195,1153
49,jefferson-park,39.7524572,-105.0120618,642
50,valverde,39.7190908,-105.02061940000002,589
51,marston,39.6264749,-105.0943821,674
52,south-park-hill,39.74045,-104.92636770000001,518
53,highland,39.7583152,-105.01862609999999,1376
54,barnum,39.714466,-105.0352429,793
55,city-park,39.742429200000004,-104.9534312,479
56,barnum-west,39.7249659,-105.0527395,443
57,chaffee-park,39.7848001,-105.00708279999999,439
58,villa-park,39.7294015,-105.0503967,1118
59,congress-park,39.737672100000005,-104.946481,792
60,washington-park,39.703864700000004,-104.96871580000001,349
61,bear-valley,39.660673,-105.05839170000002,573
62,harvey-park,39.6680393,-105.0295113,999
63,platt-park,39.6871566,-104.97663109999999,524
64,whittier,39.7534256,-104.9699906,541
65,southmoor-park,39.6305433,-104.9080822,444
66,lowry-field,39.7206557,-104.87761270000001,717
67,goldsmith,39.6781451,-104.9218602,698
68,west-highland,39.7694205,-105.0331354,756
69,belcaro,39.7115618,-104.94070829999998,376
70,indian-creek,39.6816017,-104.89945120000002,117
71,clayton,39.7690422,-104.9459096,639
72,country-club,39.7201777,-104.9597689,173
73,sun-valley,39.735184100000005,-105.0241256,644
74,fort-logan,39.6383886,-105.05174620000001,491
75,hilltop,39.7175948,-104.93875120000001,440
76,skyland,39.760379799999995,-104.9503425,256
77,wellshire,39.660964299999996,-104.94454609999998,91
